id,text,label
529661510369284096,@ mikeyerxa excuse me wheres my invite latter duh,comment
529661727940431872,@ halihamilton @ mikeyerxa gonna try make,comment
529661317087768576,@ mikeyerxa send prince set tennis ball leg walker easier slide across stage,comment
529666750330449920,@ noblerobel girl dont mean age aint nothing number,comment
529660296080916480,prince playing secret show toronto tonight i also playing secret show tonight involving pizza amp netflix bingeing,support
529656160736251904,@ entcity @ davidleyes,comment
529751327174586370,@ jordanletkemann @ entcity haha keep ear open let know hear anything ill,comment
529670625229422593,@ jordanletkemann @ entcity @ davidleyes wtf,comment
529697018575585280,@ entcity prince god,comment
529677185171607553,@ davidleyes @ entcity im cry well dont worry,deny
529880720458911745,@ davidleyes im cry purple tear,comment
529653029747064832,prince fan lining massey hall wristbands surprise show reportedly sale 6pm toronto,support
529690572630798338,@ lisalaflammectv @ ctvtoronto suprise concert vancouver would cool cmonprince,support
529687957377413120,@ lisalaflammectv hope,comment
529690952563433472,@ lisalaflammectv i line it going victoria street queen,comment
529689606649020418,@ lisalaflammectv do mean artist formerly known strange symbol,comment
529689031571808256,@ lisalaflammectv yep dont i know yep,support
529687410611728384,is true prince rumoured performing surprise show toronto,comment
529715169942065152,“ @ billboard secret prince show rumored toronto tonight wishing nyc @ pdubfunk,support
529714660690644992,“ @ billboard secret prince show rumored toronto tonight one ever secret show ohio ,support
529714853955399680,“ @ billboard secret prince show rumored toronto tonight @ thebruun,support
529739950993203201,@ thebruun noooooo,comment
529736871707152385,@ rachellejl i think sold minus 4 minute,deny
529713467184676864,secret prince show rumored toronto tonight,support
529689790254698496,@ freekmanejames loooooooooooooooooool,comment
529690091221180416,@ freekmanejames hold boom box air get emosh benji purple rain purple rainbnnn insert hard electric guitar,deny
529693591132983297,@ tristananthonyj concert,comment
529694204361203713,@ freekmanejames tell wouldnt show tightest clothes cry still hardest nigga prince concert,comment
529695331387461632,@ tristananthonyj thats concert could wear heel still hard af,comment
529689679411810304,people talking stupid shit like government corruption harassment prince toronto smh,support
529797259362177024,@ ctvottawa help event even raffle prize much appreciated,comment
529797166739378177,@ ctvottawa @ masseyhall holding suicide prevention event fundraiser funeral cost cousin passed sun,comment
529716453792956416,is prince toronto rumours fly surprise show @ masseyhall,comment
529698240405729281,@ akrred @ thesocialctv thats insane i love prince there way i get babysitting last minute,comment
529695704982491137,@ thesocialctv i saw prince concert 2 year ago halifax honestly boring concert ever was disappointed,deny
529695587390980097,@ thesocialctv yes indeed,comment
529696619244306432,@ thesocialctv birthdaygirl prince birthday ohhhh i would love see time fav please get,comment
529697981751373824,@ babiesbaubles @ thesocialctv massey hall tix 10 prince,comment
529696091638620160,@ thesocialctv love prince first concert princewatch,comment
529696892851347458,@ thesocialctv where prince,query
529701086815592449,@ thesocialctv i want ticket bad,comment
529695367680761856,omg prince rumoured performing toronto today exciting,support
529708506111549440,@ stazie15 enjoyyyyyy im jealous  @ torontocomms,comment
529705003758665729,@ ianallen169 @ princepartyuk @ torontocomms @ 3rdeyegirl i cant go lol i work i would amazing,comment
529702311111983104,@ ianallen169 @ princepartyuk @ stazie15 @ torontocomms @ 3rdeyegirl boy know queue mate,comment
529703489107423233,@ stazie15 @ princepartyuk @ torontocomms @ 3rdeyegirl i hope enjoy only slightly jealous ,comment
529701933301653505,@ stazie15 @ princepartyuk @ torontocomms if there one thing @ 3rdeyegirl fan love music queueing,comment
529702566104678401,@ ianallen169 @ princepartyuk @ torontocomms @ 3rdeyegirl true hope heck concert,comment
529695483661664257,clearly prince show toronto @ torontocomms tdot gta prince concert,support
529740822238232577,athenaph tease rt @ cbcnews prince playing massey hall tonight promoter say,support
529741502323621890,@ cbcnews of course i cant make tonight but saturday,support
529741574742507520,@ cbcnews lol,comment
529827763855704064,@ cbcnews @ princenewsusa ogt,comment
529748991849013248,@ cbcnews and when @ cbcnews asked live nation one made clarification 4 5 hour earlier,query
529746860714758145,“ @ cbcnews prince playing massey hall tonight promoter say good i feeling bitter,comment
529743000247992320,@ cbcnews good,query
529740809672077313,@ cbcnews i also confirm playing rankin inlet nu either,deny
529745508148203523,wtw @ cbcnews prince playing massey hall tonight promoter say,deny
529739968470867968,prince playing massey hall tonight promoter say,deny
529590746018754560,@ princetaughtme @ princemuseum @ 3rdeyegirl i wld def go i 2 hr away i flew 11 hr 2 c vegas best night life,comment
529548830287876096,@ princemuseum oh god show already sold toronto damn,query
529542083405955072,@ princetaughtme @ 3rdeyegirl get board seduction 747,comment
529550553773506560,@ princemuseum ohhhh alright i confused said longer sale,comment
529546994520694784,@ princetaughtme make tonight,comment
529550101925343233,@ princetaughtme i dont think even sale yet,support
529657666843721729,@ sarahmccrone @ princemuseum @ 3rdeyegirl moneyyyyy,comment
529542544573865985,@ princemuseum @ 3rdeyegirl i wish the commodore ballroom calling princes name vancouver hell back around… hopefully,comment
529547352907218944,@ princemuseum i doubt i dont got money go way if i i definitely would it would fun,comment
529660640575897600,@ princetaughtme @ princemuseum @ 3rdeyegirl oh,comment
529661580649459712,@ sarahmccrone @ princemuseum @ 3rdeyegirl,comment
529541029910044672,@ princemuseum @ 3rdeyegirl four hour flight vancouver toronto im tempted lol,comment
529658081840746496,@ mossequ1 @ princemuseum @ 3rdeyegirl across country 4 hour away lol like 300 i think,support
529574549340553216,@ princetaughtme @ princemuseum @ 3rdeyegirl go i would i could,comment
529540733020405760,prince in toronto tonight @ 3rdeyegirl tweeted morning say otnorot calling toronto backwards obviously seems,support
529655597114085376,@ ctvnews next maybe vancouver bc,query
529680820324560897,@ ctvnews hahahaha well much surprise p,comment
529655944066912257,exciting anyone going rt @ ctvnews prince rumoured performsurprise show toronto,comment
529658952519540736,“ @ ctvnews prince rumoured performing surprise show toronto how cool,comment
529654399455727617,@ ctvnews i guess longer surprise,comment
529654334456598529,@ ctvnews hey @ stephb209,comment
529680436121702400,@ ctvnews care,comment
529664081100562432,@ ctvnews he still alive,query
529655164828139522,@ ctvnews if happening thursday would consider flying vancouver to hope seeing live onbucketlist,comment
529671977662185473,@ natashankpr ill definitely trying get tix today,comment
529654186791944192,prince rumoured performing surprise show toronto,support
529722000076718082,this feel likewhen dove cry rt @ livenationon confirm prince performing @ masseyhall tonight,comment
529722084600320001,@ livenationon soo its tomorrow night prince @ masseyhall,query
529723119913951232,@ livenationon @ masseyhall tomorrow night,query
529721379302952961,@ sbranisteanu @ livenationon @ masseyhall thank tweet mucho appreciateo,support
529722570460123136,@ rockthusiast maybe tomorrow,query
529723719552618496,@ brofromanother @ livenationon @ masseyhall aw man that got funny bone,comment
529720506602516480,“ @ jillkrajewski @ livenationon in response inquiry confirm prince performing @ masseyhall tonight ”,query
529722617318899712,@ livenationon @ masseyhall probably @ 3rdeyegirl,comment
