id,parent_id,text,label
529661510369284096,529660296080916480,"prince is playing a secret show in toronto tonight.  i will also be playing a secret show tonight involving pizza &amp; netflix bingeing. <REPLY> @mikeyerxa excuse me, where's my invite (to the latter, duh)",comment
529661727940431872,529661510369284096,"prince is playing a secret show in toronto tonight.  i will also be playing a secret show tonight involving pizza &amp; netflix bingeing. <REPLY> @mikeyerxa excuse me, where's my invite (to the latter, duh) <REPLY> @halihamilton @mikeyerxa gonna try to make it to both.",comment
529661317087768576,529660296080916480,prince is playing a secret show in toronto tonight.  i will also be playing a secret show tonight involving pizza &amp; netflix bingeing. <REPLY> @mikeyerxa you should send prince a set of tennis balls for the legs of his walker.  easier to slide across stage.,comment
529666750330449920,529661317087768576,"prince is playing a secret show in toronto tonight.  i will also be playing a secret show tonight involving pizza &amp; netflix bingeing. <REPLY> @mikeyerxa you should send prince a set of tennis balls for the legs of his walker.  easier to slide across stage. <REPLY> @noblerobel girl, don't be mean.   age ain't nothing but a number.",comment
529660296080916480,,prince is playing a secret show in toronto tonight.  i will also be playing a secret show tonight involving pizza &amp; netflix bingeing.,support
529656160736251904,529653029747064832,prince fans lining up at massey hall. wristbands for surprise show reportedly on sale at 6pm. #toronto  <REPLY> @entcity @davidleyes,comment
529751327174586370,529677185171607553,"@davidleyes @entcity: i'm crying as well... don't you worry! <REPLY> @jordanletkemann @entcity 
haha!!!! keep your ears open and let me know if you hear anything...
i'll do the same!!!
",comment
529670625229422593,529656160736251904,prince fans lining up at massey hall. wristbands for surprise show reportedly on sale at 6pm. #toronto  <REPLY> @entcity @davidleyes <REPLY> @jordanletkemann @entcity @davidleyes wtf?!?!?!?!,comment
529697018575585280,529653029747064832,prince fans lining up at massey hall. wristbands for surprise show reportedly on sale at 6pm. #toronto  <REPLY> @entcity prince is god,comment
529677185171607553,529670625229422593,prince fans lining up at massey hall. wristbands for surprise show reportedly on sale at 6pm. #toronto  <REPLY> @entcity @davidleyes <REPLY> @jordanletkemann @entcity @davidleyes wtf?!?!?!?! <REPLY> @davidleyes @entcity: i'm crying as well... don't you worry!,deny
529880720458911745,529751327174586370,"@davidleyes @entcity: i'm crying as well... don't you worry! <REPLY> @jordanletkemann @entcity 
haha!!!! keep your ears open and let me know if you hear anything...
i'll do the same!!!
 <REPLY> @davidleyes: i'm crying purple tears...",comment
529653029747064832,,prince fans lining up at massey hall. wristbands for surprise show reportedly on sale at 6pm. #toronto ,support
529690572630798338,529687410611728384,is it true? prince rumoured to be performing surprise show in toronto  <REPLY> @lisalaflammectv @ctvtoronto a suprise concert on vancouver would be cool #cmonprince,support
529687957377413120,529687410611728384,is it true? prince rumoured to be performing surprise show in toronto  <REPLY> @lisalaflammectv hope not,comment
529690952563433472,529687410611728384,is it true? prince rumoured to be performing surprise show in toronto  <REPLY> @lisalaflammectv i am in a line up. it is going down victoria street to queen.,comment
529689606649020418,529687410611728384,"is it true? prince rumoured to be performing surprise show in toronto  <REPLY> @lisalaflammectv do you mean the artist formerly known as ""strange symbol""?",comment
529689031571808256,529687410611728384,"is it true? prince rumoured to be performing surprise show in toronto  <REPLY> @lisalaflammectv yep, don't as me how i know, but yep",support
529687410611728384,,is it true? prince rumoured to be performing surprise show in toronto ,comment
529715169942065152,529713467184676864,secret prince show rumored for toronto tonight  <REPLY> “@billboard: secret prince show rumored for toronto tonight  wishing this was nyc @pdubfunk,support
529714660690644992,529713467184676864,secret prince show rumored for toronto tonight  <REPLY> “@billboard: secret prince show rumored for toronto tonight  why does no one ever do secret shows in ohio? 😔,support
529714853955399680,529713467184676864,secret prince show rumored for toronto tonight  <REPLY> “@billboard: secret prince show rumored for toronto tonight  @thebruun,support
529739950993203201,529736871707152385,@rachelle_jl i think it sold out in minus 4 minutes. <REPLY> @thebruun noooooo!,comment
529736871707152385,529714853955399680,secret prince show rumored for toronto tonight  <REPLY> “@billboard: secret prince show rumored for toronto tonight  @thebruun <REPLY> @rachelle_jl i think it sold out in minus 4 minutes.,deny
529713467184676864,,secret prince show rumored for toronto tonight ,support
529689790254698496,529689679411810304,people talking about stupid shit like government corruption and harassment when prince is in toronto smh <REPLY> @freekmanejames loooooooooooooooooool,comment
529690091221180416,529689679411810304,people talking about stupid shit like government corruption and harassment when prince is in toronto smh <REPLY> @freekmanejames *holds boom box to air and gets emosh with benji* purple rain purple rainbnnn *insert hard electric guitar here*,deny
529693591132983297,529690091221180416,people talking about stupid shit like government corruption and harassment when prince is in toronto smh <REPLY> @freekmanejames *holds boom box to air and gets emosh with benji* purple rain purple rainbnnn *insert hard electric guitar here* <REPLY> @tristananthonyj we should be at this concert,comment
